date,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,20Y,30Y,close
1985-09-26,7.16,7.27,7.87,8.72,9.12,9.61,10.05,10.22,10.68,10.5,110.64
1985-09-30,7.27,7.44,7.99,8.88,9.27,9.73,10.15,10.31,10.75,10.57,110.62
1985-10-01,7.26,7.54,7.94,8.83,9.25,9.69,10.13,10.29,10.73,10.55,112.14
1985-10-02,7.25,7.6,7.95,8.84,9.23,9.69,10.15,10.3,10.74,10.59,110.84
1985-10-03,7.22,7.63,7.97,8.84,9.26,9.69,10.17,10.32,10.74,10.59,110.87
1985-10-04,7.22,7.63,7.97,8.84,9.26,9.73,10.2,10.36,10.77,10.61,110.08
1985-10-07,7.32,7.7,8.07,8.97,9.36,9.83,10.29,10.42,10.85,10.66,108.2
1985-10-08,7.39,7.74,8.06,8.96,9.35,9.81,10.25,10.36,10.81,10.63,107.16
1985-10-09,7.42,7.74,8.05,8.97,9.35,9.82,10.27,10.37,10.81,10.64,108.63
1985-10-10,7.46,7.79,8.08,8.96,9.35,9.82,10.26,10.35,10.78,10.61,109.44
1985-10-11,7.43,7.75,8.05,8.96,9.35,9.82,10.25,10.34,10.77,10.61,111.05
1985-10-15,7.48,7.72,8.06,8.94,9.33,9.79,10.2,10.3,10.72,10.56,113.38
1985-10-16,7.45,7.72,8.02,8.89,9.27,9.73,10.13,10.25,10.69,10.52,114.31
1985-10-17,7.43,7.69,7.99,8.85,9.21,9.67,10.08,10.21,10.64,10.47,114.74
1985-10-18,7.44,7.7,7.97,8.81,9.2,9.62,10.04,10.17,10.6,10.44,114.32
1985-10-21,7.46,7.73,7.98,8.83,9.21,9.63,10.05,10.18,10.6,10.44,113.68
1985-10-22,7.39,7.7,7.98,8.8,9.17,9.6,10.0,10.12,10.55,10.39,114.44
1985-10-23,7.46,7.76,8.02,8.84,9.21,9.62,10.01,10.14,10.55,10.39,115.06
1985-10-24,7.5,7.85,8.09,8.9,9.22,9.64,10.01,10.15,10.56,10.41,115.48
1985-10-25,7.48,7.81,8.07,8.88,9.25,9.67,10.06,10.21,10.63,10.47,113.91
1985-10-28,7.47,7.8,8.08,8.91,9.32,9.75,10.16,10.28,10.72,10.53,113.82
1985-10-29,7.45,7.72,8.01,8.82,9.19,9.61,10.01,10.11,10.56,10.37,115.4
1985-10-30,7.42,7.67,7.91,8.68,9.02,9.45,9.79,9.97,10.44,10.26,115.77
1985-10-31,7.42,7.67,7.92,8.7,9.06,9.47,9.82,10.01,10.45,10.28,115.48
1985-11-01,7.44,7.67,7.91,8.7,9.04,9.45,9.79,9.98,10.41,10.24,116.28
1985-11-04,7.48,7.71,7.95,8.71,9.04,9.44,9.8,9.98,10.4,10.23,116.04
1985-11-05,7.48,7.7,7.93,8.69,9.02,9.39,9.75,9.93,10.35,10.18,116.44
1985-11-06,7.49,7.71,7.91,8.67,9.01,9.38,9.75,9.93,10.36,10.19,117.38
1985-11-07,7.54,7.74,7.92,8.67,9.0,9.38,9.74,9.91,10.35,10.18,117.62
1985-11-08,7.46,7.64,7.82,8.57,8.91,9.3,9.67,9.84,10.3,10.13,119.26
1985-11-12,7.46,7.63,7.81,8.53,8.85,9.2,9.53,9.74,10.2,10.03,121.82
1985-11-13,7.52,7.69,7.88,8.58,8.92,9.28,9.61,9.78,10.24,10.07,121.17
1985-11-14,7.56,7.75,7.91,8.63,8.98,9.33,9.67,9.84,10.3,10.12,121.83
1985-11-15,7.59,7.75,7.94,8.66,9.0,9.39,9.72,9.92,10.35,10.18,122.17
1985-11-18,7.48,7.67,7.83,8.51,8.82,9.22,9.54,9.72,10.18,10.03,121.95
1985-11-19,7.45,7.65,7.83,8.52,8.75,9.2,9.54,9.73,10.15,10.0,122.57
1985-11-20,7.49,7.7,7.87,8.54,8.78,9.22,9.53,9.72,10.15,10.0,122.2
1985-11-21,7.47,7.68,7.84,8.51,8.75,9.17,9.48,9.58,10.08,9.93,123.61
1985-11-22,7.47,7.68,7.86,8.52,8.79,9.22,9.55,9.66,10.16,9.95,123.97
1985-11-25,7.44,7.67,7.87,8.52,8.78,9.23,9.55,9.68,10.19,9.98,123.14
1985-11-26,7.43,7.66,7.9,8.53,8.78,9.24,9.55,9.68,10.17,9.96,123.95
1985-11-27,7.41,7.65,7.86,8.52,8.72,9.12,9.51,9.64,10.12,9.91,125.77
1985-11-29,7.39,7.63,7.85,8.46,8.7,9.07,9.47,9.59,10.07,9.86,126.06
1985-12-02,7.5,7.7,7.91,8.54,8.75,9.14,9.55,9.69,10.17,9.94,125.19
1985-12-03,7.47,7.69,7.92,8.52,8.77,9.15,9.55,9.68,10.15,9.92,125.23
1985-12-04,7.46,7.68,7.87,8.49,8.75,9.1,9.5,9.63,10.1,9.88,127.94
1985-12-05,7.5,7.72,7.91,8.47,8.75,9.1,9.49,9.62,10.1,9.88,128.46
1985-12-06,7.48,7.69,7.89,8.47,8.75,9.12,9.51,9.65,10.11,9.9,126.95
1985-12-09,7.44,7.65,7.83,8.35,8.62,8.98,9.34,9.49,9.97,9.77,127.48
1985-12-10,7.41,7.61,7.76,8.23,8.5,8.83,9.2,9.36,9.84,9.65,127.97
1985-12-11,7.28,7.41,7.53,8.0,8.28,8.64,9.02,9.2,9.72,9.53,129.18
1985-12-12,7.31,7.43,7.61,8.07,8.38,8.72,9.12,9.27,9.78,9.58,129.76
1985-12-13,7.2,7.32,7.5,7.97,8.25,8.63,9.05,9.21,9.72,9.53,132.12
1985-12-16,7.25,7.38,7.53,8.0,8.28,8.62,9.0,9.16,9.64,9.45,132.61
1985-12-17,7.23,7.36,7.52,7.94,8.18,8.48,8.89,9.04,9.54,9.35,131.53
1985-12-18,7.36,7.48,7.64,8.04,8.25,8.57,8.95,9.11,9.6,9.4,131.14
1985-12-19,7.33,7.45,7.59,8.0,8.27,8.58,8.95,9.1,9.59,9.37,131.93
1985-12-20,7.27,7.44,7.58,8.01,8.18,8.52,8.89,9.04,9.54,9.33,132.26
1985-12-23,7.3,7.47,7.63,8.01,8.24,8.56,8.94,9.08,9.57,9.34,130.72
1985-12-24,7.28,7.44,7.63,8.02,8.27,8.56,8.93,9.07,9.55,9.33,130.03
1985-12-26,7.23,7.37,7.55,7.99,8.23,8.52,8.89,9.04,9.52,9.31,130.34
1985-12-27,7.18,7.37,7.55,7.99,8.23,8.5,8.86,8.99,9.49,9.27,131.49
1985-12-30,7.17,7.44,7.62,7.99,8.24,8.49,8.87,9.01,9.51,9.28,131.94
