データ日付,終値,始値,高値,安値
"2019/01/04","27.55","28.32","29.74","27.44"
"2019/01/07","26.45","25.35","26.74","25.02"
"2019/01/08","23.73","25.98","25.98","23.68"
"2019/01/09","23.30","23.29","23.52","22.66"
"2019/01/10","24.44","23.87","24.59","23.27"
"2019/01/11","23.57","23.38","23.89","23.17"
"2019/01/15","22.68","23.59","23.63","21.73"
"2019/01/16","22.11","22.29","23.37","22.04"
"2019/01/17","21.74","21.55","22.00","21.15"
"2019/01/18","20.78","21.64","21.64","20.52"
"2019/01/21","20.59","21.39","21.64","20.55"
"2019/01/22","20.62","20.15","20.75","19.63"
"2019/01/23","20.85","21.36","21.58","20.55"
"2019/01/24","20.42","21.04","21.31","20.42"
"2019/01/25","19.54","20.07","20.07","19.46"
"2019/01/28","19.99","20.07","20.26","19.82"
"2019/01/29","20.06","20.62","21.99","20.03"
"2019/01/30","20.19","20.14","20.88","20.09"
"2019/01/31","18.86","19.18","19.60","18.60"
"2019/02/01","18.35","18.70","18.71","17.88"
"2019/02/04","17.23","18.26","18.35","17.16"
"2019/02/05","16.55","16.74","16.81","16.42"
"2019/02/06","17.30","16.65","17.39","16.42"
"2019/02/07","17.15","17.04","18.12","16.99"
"2019/02/08","19.81","18.56","19.92","17.76"
"2019/02/12","18.00","19.01","19.01","17.37"
"2019/02/13","18.17","17.90","18.50","17.81"
"2019/02/14","17.78","18.00","18.11","17.63"
"2019/02/15","18.64","18.51","19.34","18.43"
"2019/02/18","17.88","18.36","18.53","17.88"
"2019/02/19","18.34","18.21","18.54","17.90"
"2019/02/20","18.12","18.49","18.50","17.97"
"2019/02/21","17.57","18.38","18.38","17.51"
"2019/02/22","17.11","17.82","17.85","17.04"
"2019/02/25","17.04","17.38","17.56","17.04"
"2019/02/26","16.83","16.93","17.34","16.59"
"2019/02/27","16.67","16.88","16.95","16.41"
"2019/02/28","16.78","17.01","17.23","16.27"
"2019/03/01","16.80","16.72","16.84","16.38"
"2019/03/04","16.54","16.89","16.92","16.04"
"2019/03/05","16.73","16.92","17.14","16.68"
"2019/03/06","17.56","16.93","17.63","16.85"
"2019/03/07","18.12","17.99","18.42","17.75"
"2019/03/08","19.81","19.25","20.25","18.55"
"2019/03/11","18.69","19.70","19.70","18.56"
"2019/03/12","17.21","17.45","17.66","16.57"
"2019/03/13","17.73","17.39","18.41","17.10"
"2019/03/14","16.99","17.07","17.48","16.71"
"2019/03/15","16.03","16.59","16.59","15.71"
"2019/03/18","15.87","16.16","16.31","15.75"
"2019/03/19","15.74","16.10","16.25","15.61"
"2019/03/20","15.76","15.88","16.31","15.49"
"2019/03/22","15.44","15.85","16.06","15.41"
"2019/03/25","19.40","18.20","20.18","18.14"
"2019/03/26","17.95","18.06","18.06","17.22"
"2019/03/27","17.20","17.41","17.99","17.17"
"2019/03/28","18.48","18.02","19.09","18.00"
"2019/03/29","17.22","17.65","17.95","17.18"
"2019/04/01","17.20","17.18","17.40","16.73"
"2019/04/02","17.00","16.65","17.28","16.65"
"2019/04/03","16.24","16.76","16.91","16.22"
"2019/04/04","16.18","16.49","16.59","16.11"
"2019/04/05","16.20","16.13","16.28","15.94"
"2019/04/08","16.12","16.17","16.31","15.93"
"2019/04/09","16.00","16.05","16.20","15.81"
"2019/04/10","16.16","16.46","16.57","16.13"
"2019/04/11","15.60","16.18","16.18","15.46"
"2019/04/12","15.24","15.10","15.32","14.69"
"2019/04/15","15.72","15.41","15.76","15.21"
"2019/04/16","14.82","15.51","15.59","14.70"
"2019/04/17","14.88","14.63","15.05","14.51"
"2019/04/18","15.86","15.08","16.12","14.89"
"2019/04/19","15.21","15.45","15.47","14.99"
"2019/04/22","15.83","15.87","16.34","15.74"
"2019/04/23","15.56","15.84","16.50","15.50"
"2019/04/24","16.40","15.52","16.53","15.52"
"2019/04/25","15.86","16.32","16.91","15.80"
"2019/04/26","16.76","16.99","16.99","15.79"
"2019/05/07","19.43","21.40","21.63","18.32"
"2019/05/08","20.96","21.98","22.28","20.91"
"2019/05/09","23.75","21.06","23.75","21.06"
"2019/05/10","23.79","22.75","24.66","21.63"
"2019/05/13","22.40","22.73","23.64","21.74"
"2019/05/14","21.99","24.34","24.34","21.93"
"2019/05/15","18.99","20.68","21.17","18.81"
"2019/05/16","19.40","19.28","19.62","18.83"
"2019/05/17","18.56","18.48","18.70","17.44"
"2019/05/20","18.18","18.95","18.95","17.92"
"2019/05/21","18.37","18.86","18.94","17.81"
"2019/05/22","17.71","17.91","17.98","17.31"
"2019/05/23","18.42","17.83","18.46","17.58"
"2019/05/24","18.56","19.62","19.62","18.44"
"2019/05/27","18.12","18.85","18.85","17.92"
"2019/05/28","17.68","18.17","18.19","17.44"
"2019/05/29","18.49","18.17","18.95","18.03"
"2019/05/30","18.68","18.99","19.12","18.30"
"2019/05/31","20.25","19.25","20.36","18.89"
"2019/06/03","20.88","21.33","21.34","20.19"
"2019/06/04","20.10","20.20","20.49","19.79"
"2019/06/05","18.70","18.98","19.34","18.50"
"2019/06/06","18.02","18.60","18.60","17.55"
"2019/06/07","17.16","17.65","17.76","17.16"
"2019/06/10","17.15","17.57","17.69","16.94"
"2019/06/11","16.90","17.05","17.14","16.66"
"2019/06/12","17.53","17.26","17.53","16.87"
"2019/06/13","17.62","17.67","17.99","17.41"
"2019/06/14","17.28","17.24","17.51","17.11"
"2019/06/17","16.74","17.25","17.25","16.63"
"2019/06/18","16.92","16.65","17.07","16.47"
"2019/06/19","16.28","16.33","16.47","15.96"
"2019/06/20","15.25","15.63","15.85","15.21"
"2019/06/21","16.00","15.55","16.36","15.25"
"2019/06/24","16.07","16.62","16.81","16.02"
"2019/06/25","16.37","16.24","16.65","15.87"
"2019/06/26","16.56","16.88","16.92","16.23"
"2019/06/27","16.35","16.60","16.61","16.14"
"2019/06/28","16.78","16.62","16.97","16.49"
"2019/07/01","15.15","16.05","16.20","14.82"
"2019/07/02","15.04","15.11","15.13","14.79"
"2019/07/03","14.80","14.85","14.99","14.61"
"2019/07/04","14.23","14.41","14.71","14.23"
"2019/07/05","14.02","14.32","14.39","13.93"
"2019/07/08","14.39","14.74","14.74","14.18"
"2019/07/09","14.23","14.39","14.49","13.91"
"2019/07/10","14.63","14.50","14.63","14.31"
"2019/07/11","13.50","14.25","14.33","13.21"
"2019/07/12","13.12","13.72","13.72","13.12"
"2019/07/16","13.21","13.73","13.88","13.12"
"2019/07/17","13.43","13.01","13.47","13.01"
"2019/07/18","16.36","14.38","17.08","14.38"
"2019/07/19","14.59","15.36","15.36","14.34"
"2019/07/22","15.21","15.22","15.45","15.06"
"2019/07/23","14.75","14.86","14.94","14.64"
"2019/07/24","14.95","14.79","15.09","14.75"
"2019/07/25","15.18","14.97","15.29","14.86"
"2019/07/26","15.34","15.50","15.82","15.32"
"2019/07/29","15.57","15.42","15.82","15.25"
"2019/07/30","15.10","15.45","15.51","15.04"
"2019/07/31","15.72","15.87","16.20","15.68"
"2019/08/01","15.55","16.32","16.84","15.23"
"2019/08/02","17.93","17.94","18.81","17.52"
