date,indexOpen,viClose
2019/01/11,20296.45,24.44,
2019/02/08,20510.5,17.15,
2019/03/08,21339.17,18.12,
2019/04/12,21782.35,15.6,
2019/05/17,21246.86,19.4,
2019/06/14,21049.41,17.62,
2019/07/12,21720.14,13.5,
2019/08/09,20758.15,21.06,
2019/09/13,21907.83,16.18,
2019/10/11,21749.93,17.74,
2019/11/08,23550.04,14.33,
2019/12/13,23810.56,15.93,
2020/02/14,23714.52,16.1,
2020/03/13,18183.47,51.48,
2020/04/10,19500.07,40.45,
2020/05/08,19972.09,34.15,
2020/06/12,22082.12,29.78,
2020/07/10,22534.97,23.89,
2020/08/14,23323.92,21.58,
2020/09/11,23114.63,21.99,
2020/10/09,23713.86,20.49,
2020/11/13,25405.64,22.09,
2020/12/11,26732.85,19.74,
2021/02/12,29635.88,22.3,
2021/03/12,29287.74,23.59,
2021/04/09,29865.53,17.41,
2021/05/14,27723.7,28.31,
2021/06/11,29030.04,19.87,
2021/07/09,27739.42,18.79,
2021/08/13,28038.96,19.65,
2021/09/10,30089.45,21.58,
2021/10/08,28031.37,23.09,
2021/11/12,29381.45,20.38,
2021/12/10,28542.5,20.8,
2022/02/10,27818.1,21.91,
2022/03/11,25495.03,28.67,
2022/04/08,27097.05,22.47,
2022/05/13,25918.8,29.5,
2022/06/10,27996.35,20.22,
2022/07/08,26623.85,22.43,
2022/08/12,28251.74,20.18,
2022/09/09,28204.71,20.06,
2022/10/14,26599.32,26.59,
2022/11/11,27868.69,21.71,
2022/12/09,27633.96,18.87,
