date,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,20Y,30Y,close
1981-09-01,17.01,17.17,17.06,16.78,16.57,16.12,15.71,15.41,15.09,14.7,882.71
1981-09-02,16.65,17.32,17.16,16.78,16.43,16.09,15.75,15.4,15.11,14.7,884.23
1981-09-03,16.96,17.42,17.31,16.9,16.48,16.14,15.78,15.48,15.21,14.82,867.01
1981-09-04,16.64,17.37,17.24,16.89,16.52,16.17,15.86,15.51,15.24,14.84,861.68
1981-09-08,16.54,17.43,17.29,16.95,16.56,16.23,15.92,15.59,15.36,14.99,851.12
1981-09-09,16.39,17.08,17.04,16.95,16.59,16.22,15.89,15.53,15.23,14.73,853.88
1981-09-10,15.9,16.87,16.93,16.72,16.39,16.01,15.67,15.3,15.03,14.68,862.44
1981-09-11,15.76,16.33,16.46,16.47,16.15,15.81,15.41,15.05,14.86,14.49,872.81
1981-09-14,15.27,16.17,16.38,16.43,16.23,15.93,15.6,15.2,14.92,14.51,866.15
1981-09-15,15.16,15.92,16.14,16.13,15.97,15.71,15.41,15.08,14.8,14.44,858.35
1981-09-16,15.1,15.9,16.13,16.09,15.99,15.75,15.44,15.11,14.82,14.42,851.60
1981-09-17,15.18,15.69,16.0,16.01,15.83,15.55,15.27,14.95,14.68,14.26,840.09
1981-09-18,15.07,15.74,16.02,16.02,15.83,15.55,15.24,14.91,14.57,14.22,836.19
1981-09-21,14.98,15.54,15.73,15.79,15.57,15.31,15.11,14.78,14.45,14.09,846.56
1981-09-22,15.51,15.82,15.95,16.04,15.87,15.61,15.36,15.03,14.68,14.33,845.70
1981-09-23,14.94,15.71,16.01,16.11,16.01,15.79,15.57,15.23,14.93,14.61,840.94
1981-09-24,14.94,15.8,16.1,16.17,16.08,15.83,15.57,15.31,15.05,14.69,835.14
1981-09-25,15.02,16.05,16.44,16.53,16.37,16.13,15.98,15.68,15.53,15.08,824.01
1981-09-28,14.82,15.91,16.44,16.57,16.36,16.13,15.97,15.65,15.45,15.01,842.56
1981-09-29,14.86,16.05,16.51,16.59,16.46,16.18,16.05,15.76,15.63,15.2,847.89
1981-09-30,15.05,16.19,16.64,16.69,16.45,16.27,16.05,15.84,15.78,15.19,849.98
1981-10-01,15.33,16.16,16.59,16.57,16.4,16.13,15.97,15.75,15.62,15.14,852.26
1981-10-02,15.4,16.14,16.4,16.34,16.11,15.83,15.69,15.41,15.28,14.8,860.73
